trial	order	mode	query_rows	seqlen_k	ck_total_ms	native_ms	max_abs
1	1	switch	128	8192	4.48417282	9.00461388	2.14353204e-05
1	2	constant	128	8192	2.62749720	8.67060280	2.14353204e-05
2	1	constant	128	8192	2.72566366	8.73572636	2.14353204e-05
2	2	switch	128	8192	4.51800871	8.81837273	2.14353204e-05
3	1	switch	128	8192	4.48892307	8.88899803	2.14353204e-05
3	2	constant	128	8192	2.68642926	8.60576153	2.14353204e-05
4	1	constant	128	8192	2.58892679	8.80533028	2.14353204e-05
4	2	switch	128	8192	4.59561872	8.74682426	2.14353204e-05
5	1	switch	128	8192	6.19542789	8.92899227	2.14353204e-05
5	2	constant	128	8192	2.66546559	8.90956402	2.14353204e-05
