trial	rows	baseline_ms	fused_ms	speedup	q_mismatches	max_d_abs	max_sum_abs
1	128	0.034057	0.014268	2.387x	0	0	0
2	128	0.033319	0.013557	2.458x	0	0	0
3	128	0.033400	0.014062	2.375x	0	0	0
4	128	0.033976	0.013864	2.451x	0	0	0
5	128	0.033523	0.014228	2.356x	0	0	0
6	128	0.033771	0.013731	2.459x	0	0	0
7	128	0.034539	0.013596	2.540x	0	0	0
1	512	0.097686	0.022859	4.273x	0	0	0
2	512	0.099217	0.023241	4.269x	0	0	0
3	512	0.100713	0.022560	4.464x	0	0	0
4	512	0.102164	0.022916	4.458x	0	0	0
5	512	0.098361	0.023850	4.124x	0	0	0
6	512	0.098547	0.023084	4.269x	0	0	0
7	512	0.098684	0.022806	4.327x	0	0	0
1	2048	0.442921	0.088734	4.992x	0	0	0
2	2048	0.444357	0.090569	4.906x	0	0	0
3	2048	0.442198	0.091150	4.851x	0	0	0
4	2048	0.445403	0.089461	4.979x	0	0	0
5	2048	0.445522	0.088246	5.049x	0	0	0
6	2048	0.445193	0.091485	4.866x	0	0	0
7	2048	0.445144	0.091052	4.889x	0	0	0
1	8192	2.591035	0.624394	4.150x	0	0	0
2	8192	2.595329	0.624800	4.154x	0	0	0
3	8192	2.593246	0.624424	4.153x	0	0	0
4	8192	2.577364	0.624314	4.128x	0	0	0
5	8192	2.580592	0.624173	4.134x	0	0	0
6	8192	2.589886	0.624137	4.150x	0	0	0
7	8192	2.578708	0.624420	4.130x	0	0	0
