tile	trial	query_rows	seqlen_k	rotate_ms	ck_ms	ck_total_ms	native_ms	native_over_ck	max_abs
64x32	1	128	2048	0.01529771	1.24867642	1.12400508	1.76448846	1.56982255	4.02852893e-05
64x32	1	128	8192	0.0133785401	3.61249804	3.5700829	7.98425007	2.23643279	2.14353204e-05
64x32	1	512	2048	0.0101785101	1.35377097	1.39052892	5.92452621	4.26062775	4.12836671e-05
64x32	1	512	8192	0.0110861193	5.90403652	5.61168337	31.4716587	5.6082387	1.73933804e-05
64x32	2	128	2048	0.0190806314	1.00232077	1.03660655	1.63855994	1.58069611	4.02852893e-05
64x32	2	128	8192	0.0151161598	3.72696304	3.66366434	7.39263248	2.01782465	2.14353204e-05
64x32	2	512	2048	0.0166197699	1.69552493	1.72485948	6.06129074	3.5140779	4.12836671e-05
64x32	2	512	8192	0.0109505197	5.94573116	5.64452839	31.5065308	5.58178282	1.73933804e-05
64x32	3	128	2048	0.0186457597	1.00029182	1.02791429	1.60608125	1.56246614	4.02852893e-05
64x32	3	128	8192	0.0152317705	3.76351213	3.66469121	7.38831043	2.0160799	2.14353204e-05
64x32	3	512	2048	0.0187673289	1.48285306	1.50202501	6.06209755	4.03594971	4.12836671e-05
64x32	3	512	8192	0.0110945199	5.97840691	5.66941595	31.5752296	5.56939745	1.73933804e-05
