tile	trial	query_rows	seqlen_k	rotate_ms	ck_ms	ck_total_ms	native_ms	native_over_ck	max_abs
64x32	1	128	2048	0.0135248993	1.01071024	1.02423513	1.64922178	1.61019838	2.12341547e-05
64x32	1	128	8192	0.0130621307	3.81798697	3.8310492	7.98429585	2.08410168	1.17104501e-05
64x32	1	512	2048	0.0105061196	2.3012898	2.31179595	6.04619455	2.61536694	2.56141648e-05
64x32	1	512	8192	0.0109357098	10.1653128	10.1762486	31.5510464	3.10045958	1.38198957e-05
64x32	2	128	2048	0.0186169203	1.06491601	1.08353293	1.60944903	1.48537159	2.12341547e-05
64x32	2	128	8192	0.0152705498	3.94343376	3.95870423	7.37766409	1.86365628	1.17104501e-05
64x32	2	512	2048	0.0166933499	2.74370861	2.76040196	5.87034702	2.12662768	2.56141648e-05
64x32	2	512	8192	0.0109041091	10.0586443	10.0695486	31.5989017	3.13806534	1.38198957e-05
64x32	3	128	2048	0.0188241489	1.06282616	1.08165026	1.62158835	1.49917996	2.12341547e-05
64x32	3	128	8192	0.0152733503	3.95751691	3.97279024	7.38693523	1.85938215	1.17104501e-05
64x32	3	512	2048	0.0173397306	2.71806908	2.73540878	5.92652607	2.16659617	2.56141648e-05
64x32	3	512	8192	0.0110337194	9.81077671	9.82181072	31.6359444	3.22098899	1.38198957e-05
