tile	trial	query_rows	seqlen_k	rotate_ms	ck_ms	ck_total_ms	native_ms	native_over_ck	max_abs
64x64	1	64	2048	0.00454522995	1.31984019	1.3243854	0.898441672	0.678383827	3.9331615e-05
64x64	1	64	8192	0.00367123005	3.80063391	3.80430508	3.79611397	0.997846901	1.6912818e-05
64x64	1	128	2048	0.0135533698	0.976523221	0.990076602	1.67947102	1.69630408	4.02852893e-05
64x64	1	128	8192	0.0131065203	3.85430527	3.86741185	7.80042744	2.01696324	2.14353204e-05
64x64	1	512	2048	0.0163594205	1.65324366	1.66960311	6.04089355	3.61816144	4.20957804e-05
64x64	1	512	8192	0.0109201102	6.49262094	6.50354099	31.5648079	4.85348034	1.73933804e-05
64x64	2	64	2048	0.00597923994	0.978897691	0.984876931	0.873624444	0.887039185	3.9331615e-05
64x64	2	64	8192	0.00386483013	3.84285998	3.84672475	3.63634801	0.945310175	1.6912818e-05
64x64	2	128	2048	0.0186421201	1.09069693	1.109339	1.65788436	1.49447942	4.02852893e-05
64x64	2	128	8192	0.0146905398	3.99148607	4.00617647	7.40230322	1.84772265	2.14353204e-05
64x64	2	512	2048	0.0177386198	1.86584163	1.88358021	6.03686237	3.20499349	4.20957804e-05
64x64	2	512	8192	0.0109477099	6.56034708	6.57129478	31.6310482	4.81351852	1.73933804e-05
64x64	3	64	2048	0.00600444991	0.982622623	0.988627076	0.875894189	0.885970235	3.9331615e-05
64x64	3	64	8192	0.00440604007	3.91289067	3.91729665	3.63879633	0.928904951	1.6912818e-05
64x64	3	128	2048	0.0182345491	1.10108423	1.11931872	1.65622878	1.47967577	4.02852893e-05
64x64	3	128	8192	0.0148665402	4.0079031	4.02276945	7.39804459	1.83904266	2.14353204e-05
64x64	3	512	2048	0.0183085706	2.62160182	2.63991046	6.023736	2.2817955	4.20957804e-05
64x64	3	512	8192	0.01095651	6.58201456	6.59297085	31.7555656	4.81657934	1.73933804e-05
64x32	1	64	2048	0.0060136402	0.908117473	0.914131105	0.850188375	0.93005079	3.9331615e-05
64x32	1	64	8192	0.00444003986	3.67335367	3.67779374	3.8172307	1.0379132	1.6912818e-05
64x32	1	128	2048	0.0180289391	1.04261708	1.06064606	1.65614438	1.56144869	4.02852893e-05
64x32	1	128	8192	0.0133489296	3.69097829	3.70432711	7.45315838	2.01201415	2.14353204e-05
64x32	1	512	2048	0.0167437196	1.67444348	1.69118714	6.12371349	3.62095547	4.12836671e-05
64x32	1	512	8192	0.0109201102	5.92358303	5.93450308	31.7157402	5.34429598	1.73933804e-05
64x32	2	64	2048	0.00598005997	0.932769179	0.938749254	0.854122639	0.90985173	3.9331615e-05
64x32	2	64	8192	0.00388724008	3.61834645	3.62223363	3.67944002	1.01579309	1.6912818e-05
64x32	2	128	2048	0.0183946602	1.05012357	1.06851828	1.67961287	1.57190835	4.02852893e-05
64x32	2	128	8192	0.0148949502	3.79414797	3.80904293	7.43399143	1.9516691	2.14353204e-05
64x32	2	512	2048	0.0176821593	1.68150306	1.69918525	6.13754272	3.61205029	4.12836671e-05
64x32	2	512	8192	0.0109481094	5.9896841	6.00063229	31.7252254	5.28698063	1.73933804e-05
64x32	3	64	2048	0.00602803985	0.929761589	0.935789645	0.881777406	0.942281663	3.9331615e-05
64x32	3	64	8192	0.00445203995	3.68267441	3.6871264	3.86400938	1.04797316	1.6912818e-05
64x32	3	128	2048	0.0187209994	1.05432141	1.07304239	1.67218089	1.55835497	4.02852893e-05
64x32	3	128	8192	0.0150481705	3.8059516	3.82099986	7.41994333	1.94188523	2.14353204e-05
64x32	3	512	2048	0.0176205803	1.68577266	1.70339322	6.20138884	3.64060903	4.12836671e-05
64x32	3	512	8192	0.0110865198	6.00936651	6.02045298	31.876688	5.29473257	1.73933804e-05
