trial	query_rows	seqlen_k	rotate_ms	ck_ms	ck_total_ms	native_ms	native_over_ck	max_abs
1	1	2048	0.00581294019	1.22944462	1.23525751	0.0739460513	0.0598628633	2.46688724e-05
1	1	8192	0.00580174988	5.15203381	5.15783548	0.144980043	0.0281086992	1.41300261e-05
1	1	16384	0.00578374974	10.270731	10.276515	0.248424798	0.0241740309	1.00918114e-05
2	1	2048	0.00582974032	1.26648819	1.27231789	0.0738502517	0.0580438673	2.46688724e-05
2	1	8192	0.00578414975	5.13708401	5.14286804	0.144673958	0.0281309877	1.41300261e-05
2	1	16384	0.00578774977	10.2486486	10.2544365	0.249982804	0.0243780147	1.00918114e-05
3	1	2048	0.00575972954	1.29529345	1.30105317	0.0739421472	0.0568325333	2.46688724e-05
3	1	8192	0.00579174981	5.12583447	5.13162613	0.144665897	0.0281910431	1.41300261e-05
3	1	16384	0.00573774986	10.2388191	10.2445564	0.248090699	0.0242168326	1.00918114e-05
4	1	2048	0.00581453042	1.28791344	1.29372799	0.0738021508	0.0570461117	2.46688724e-05
4	1	8192	0.00573975034	5.15575314	5.16149282	0.144899905	0.028073255	1.41300261e-05
4	1	16384	0.00573575031	10.2688046	10.2745399	0.249766707	0.0243092831	1.00918114e-05
5	1	2048	0.00580972992	1.22947574	1.23528552	0.0738380477	0.0597740747	2.46688724e-05
5	1	8192	0.00574134011	5.13137388	5.137115	0.144736007	0.0281745698	1.41300261e-05
5	1	16384	0.00572814979	10.2836742	10.289402	0.249444693	0.0242428761	1.00918114e-05
1	16	2048	0.00582613004	1.28540826	1.29123437	0.227188393	0.175946668	3.00891697e-05
1	16	8192	0.00403730012	4.97096252	4.9749999	0.994722545	0.199944228	1.56592578e-05
1	16	16384	0.00401929999	9.93827724	9.94229698	1.97505069	0.198651344	1.19023025e-05
2	16	2048	0.00584532972	1.27236974	1.27821505	0.246996954	0.193235829	3.00891697e-05
2	16	8192	0.00403250009	4.95455074	4.95858335	0.996250749	0.200914383	1.56592578e-05
2	16	16384	0.00402450003	9.88991547	9.89393997	1.96384656	0.198489845	1.19023025e-05
3	16	2048	0.00579492981	1.23157597	1.23737085	0.239014596	0.193163261	3.00891697e-05
3	16	8192	0.00402290002	4.95191336	4.95593643	0.995444894	0.2008591	1.56592578e-05
3	16	16384	0.00402610004	9.91968822	9.92371464	1.97278881	0.198795393	1.19023025e-05
4	16	2048	0.00582093	1.2928102	1.29863119	0.229374051	0.176627561	3.00891697e-05
4	16	8192	0.00402650004	4.95459461	4.95862103	0.995870233	0.200836122	1.56592578e-05
4	16	16384	0.00402850006	9.91851616	9.92254448	1.96200967	0.197732508	1.19023025e-05
5	16	2048	0.00583533011	1.28539848	1.29123378	0.239986852	0.185858563	3.00891697e-05
5	16	8192	0.00402370002	4.97418642	4.97820997	1.02258921	0.205413029	1.56592578e-05
5	16	16384	0.00402770005	9.90563774	9.90966511	1.97723413	0.199525833	1.19023025e-05
