pair	order	mode	process_median_prefill_tok_s	summary_last_prefill_tok_s	decode_tok_s	token_ids
1	0	pinned_ck	1125.6	1113.0	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
1	1	native_recipe	1133.3	1123.8	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
2	0	native_recipe	1130.0	1121.4	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
2	1	pinned_ck	1119.5	1113.0	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
3	0	pinned_ck	1120.6	1114.0	31.9	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
3	1	native_recipe	1130.1	1121.7	31.7	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
4	0	native_recipe	1128.4	1119.3	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
4	1	pinned_ck	1119.5	1113.7	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
5	0	pinned_ck	1122.2	1113.1	31.7	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
5	1	native_recipe	1128.3	1120.3	31.8	[82, 248046, 198, 248045, 846, 198, 248046, 198, 248045, 74455, 198]
