pair,label,seqlen_q,seqlen_k,packed_ck_ms,staged_ck_ms,staged_speedup,max_abs,mean_abs,staged_scratch_bytes
0,baseline,2048,2048,3.40331006,1.37416494,2.47663879,6.10351562e-05,5.01400014e-07,58720256
0,baseline,2048,4096,9.31076622,3.27866006,2.83980846,1.90734863e-06,9.28949362e-08,67108864
0,baseline,2048,6144,14.8742962,5.41944599,2.74461555,9.53674316e-07,5.43407547e-08,75497472
0,baseline,2048,8192,20.771595,7.86619997,2.64061356,4.76837158e-07,3.8546015e-08,83886080
0,candidate,2048,2048,3.42814708,1.28455997,2.66873264,0,0,58720256
0,candidate,2048,4096,9.52325344,2.85652804,3.33385611,0,0,67108864
0,candidate,2048,6144,14.8386564,4.74710512,3.1258328,0,0,75497472
0,candidate,2048,8192,20.6507092,7.14425898,2.89053202,0,0,83886080
1,candidate,2048,2048,3.45211005,1.27608001,2.70524573,0,0,58720256
1,candidate,2048,4096,9.47688961,2.92420888,3.24083877,0,0,67108864
1,candidate,2048,6144,14.8687344,4.59510088,3.23577976,0,0,75497472
1,candidate,2048,8192,20.8076344,7.1877389,2.8948791,0,0,83886080
1,baseline,2048,2048,3.43374801,1.38608503,2.47729969,6.10351562e-05,5.01400014e-07,58720256
1,baseline,2048,4096,9.32924652,3.281461,2.84301615,1.90734863e-06,9.28949362e-08,67108864
1,baseline,2048,6144,14.7895708,5.4361248,2.72060919,9.53674316e-07,5.43407547e-08,75497472
1,baseline,2048,8192,20.7046318,7.76187611,2.66747785,4.76837158e-07,3.8546015e-08,83886080
2,baseline,2048,2048,3.42486596,1.40548503,2.4367857,6.10351562e-05,5.01400014e-07,58720256
2,baseline,2048,4096,9.3568449,3.36706209,2.77893448,1.90734863e-06,9.28949362e-08,67108864
2,baseline,2048,6144,14.8448515,5.50316811,2.69751,9.53674316e-07,5.43407547e-08,75497472
2,baseline,2048,8192,20.6931477,7.86711788,2.6303339,4.76837158e-07,3.8546015e-08,83886080
2,candidate,2048,2048,3.46482611,1.27743995,2.71232009,0,0,58720256
2,candidate,2048,4096,9.49005032,2.90756989,3.26391125,0,0,67108864
2,candidate,2048,6144,14.9293728,4.6909008,3.18262386,0,0,75497472
2,candidate,2048,8192,20.9813137,7.08621407,2.96086359,0,0,83886080
3,candidate,2048,2048,3.46062589,1.29103994,2.68049479,0,0,58720256
3,candidate,2048,4096,9.64601326,2.92184901,3.30133867,0,0,67108864
3,candidate,2048,6144,14.9792118,4.77786493,3.13512659,0,0,75497472
3,candidate,2048,8192,20.6809845,7.13221502,2.89965796,0,0,83886080
3,baseline,2048,2048,3.434062,1.38956404,2.47132325,6.10351562e-05,5.01400014e-07,58720256
3,baseline,2048,4096,9.42072773,3.3619411,2.80216908,1.90734863e-06,9.28949362e-08,67108864
3,baseline,2048,6144,14.7408476,5.45012379,2.70468116,9.53674316e-07,5.43407547e-08,75497472
3,baseline,2048,8192,20.6966248,7.85747719,2.63400388,4.76837158e-07,3.8546015e-08,83886080
4,baseline,2048,2048,3.4214251,1.40516102,2.43489885,6.10351562e-05,5.01400014e-07,58720256
4,baseline,2048,4096,9.48716354,3.3331399,2.84631419,1.90734863e-06,9.28949362e-08,67108864
4,baseline,2048,6144,14.847887,5.56796694,2.66666222,9.53674316e-07,5.43407547e-08,75497472
4,baseline,2048,8192,20.714941,7.75443316,2.67136765,4.76837158e-07,3.8546015e-08,83886080
4,candidate,2048,2048,3.45254803,1.28356004,2.68982196,0,0,58720256
4,candidate,2048,4096,9.66725159,2.90480804,3.32801747,0,0,67108864
4,candidate,2048,6144,15.065134,4.6906209,3.21175694,0,0,75497472
4,candidate,2048,8192,20.858345,6.94032812,3.00538301,0,0,83886080
5,candidate,2048,2048,3.45547295,1.27664101,2.70669127,0,0,58720256
5,candidate,2048,4096,9.5111227,2.96192908,3.21112442,0,0,67108864
5,candidate,2048,6144,15.0174494,4.80866385,3.12299848,0,0,75497472
