trial	order	mode	prefill_ms	prefill_tok_s	gen_tok_s	ck_active
1	1	native	590.77	866.7	34.0	0
1	2	ck	584.83	875.5	34.0	1
2	1	ck	591.68	865.3	33.8	1
2	2	native	610.50	838.7	33.8	0
3	1	native	617.52	829.1	33.7	0
3	2	ck	612.63	835.7	33.5	1
4	1	ck	617.18	829.6	33.5	1
4	2	native	631.37	810.9	33.5	0
5	1	native	625.15	819.0	33.6	0
5	2	ck	610.58	838.5	33.7	1
6	1	ck	608.68	841.2	33.6	1
6	2	native	619.77	826.1	33.6	0
7	1	native	619.12	827.0	33.7	0
7	2	ck	608.39	841.6	33.7	1
8	1	ck	611.32	837.5	33.6	1
8	2	native	626.37	817.4	33.6	0
9	1	native	626.30	817.5	33.5	0
9	2	ck	616.31	830.8	33.6	1
10	1	ck	615.14	832.3	33.5	1
10	2	native	626.84	816.8	33.6	0
