trial	order	mode	prefill_ms	prefill_tok_s	gen_tok_s	ck_active
1	1	native	605.85	845.1	33.8	0
1	2	ck	602.53	849.7	33.8	1
2	1	ck	614.07	833.8	33.5	1
2	2	native	633.15	808.7	33.6	0
3	1	native	633.51	808.2	33.4	0
3	2	ck	616.96	829.9	33.6	1
4	1	ck	612.68	835.7	33.6	1
4	2	native	622.89	822.0	33.6	0
5	1	native	620.26	825.5	33.6	0
5	2	ck	607.67	842.6	33.7	1
6	1	ck	607.84	842.3	33.6	1
6	2	native	622.11	823.0	33.6	0
7	1	native	622.37	822.7	33.5	0
7	2	ck	608.79	841.0	33.6	1
8	1	ck	606.73	843.9	33.7	1
8	2	native	622.78	822.1	33.6	0
9	1	native	622.73	822.2	33.7	0
9	2	ck	610.96	838.0	33.6	1
10	1	ck	612.53	835.9	33.5	1
10	2	native	623.34	821.4	33.6	0
