seqlen_q,seqlen_k,nhead_q,nhead_k,head_dim,native_f32_ms,ck_f16_ms,ck_qo_bridge_ms,ck_full_f32_bridge_ms,native_f32_wall_ms,ck_f16_wall_ms,ck_qo_bridge_wall_ms,ck_full_f32_bridge_wall_ms,ck_f16_gpu_speedup_vs_native_f32,ck_qo_bridge_gpu_speedup,ck_full_f32_bridge_gpu_speedup,ck_f16_wall_speedup_vs_native_f32,ck_qo_bridge_wall_speedup,ck_full_f32_bridge_wall_speedup,max_abs,mean_abs
64,512,8,8,64,0.036546,0.011050,0.016660,0.042638,0.037153,0.011941,0.017340,0.045236,3.307,2.194,0.857,3.111,2.143,0.821,1.317385e-06,2.687558e-07
64,1024,8,8,64,0.057248,0.018962,0.024520,0.038436,0.057858,0.019665,0.025352,0.038434,3.019,2.335,1.489,2.942,2.282,1.505,1.205852e-06,2.309447e-07
64,2048,8,8,64,0.117388,0.034292,0.039882,0.055670,0.120115,0.035259,0.040752,0.056252,3.423,2.943,2.109,3.407,2.947,2.135,1.127737e-06,2.05744e-07
64,4096,8,8,64,0.263890,0.064924,0.070190,0.095830,0.268649,0.066263,0.072008,0.097146,4.065,3.760,2.754,4.054,3.731,2.765,1.0937e-06,1.948891e-07
96,1024,8,8,64,0.078266,0.018220,0.023864,0.035404,0.079304,0.019149,0.024795,0.037029,4.296,3.280,2.211,4.141,3.198,2.142,1.324981e-06,2.281859e-07
96,2048,8,8,64,0.159330,0.032276,0.037988,0.053728,0.162246,0.033132,0.038694,0.054073,4.936,4.194,2.965,4.897,4.193,3.001,1.180131e-06,2.022284e-07
128,512,8,8,64,0.059042,0.011084,0.044254,0.072954,0.059713,0.012010,0.045133,0.073251,5.327,1.334,0.809,4.972,1.323,0.815,1.370485e-06,2.683473e-07
128,1024,8,8,64,0.099516,0.018870,0.052096,0.064078,0.100819,0.019889,0.052910,0.064085,5.274,1.910,1.553,5.069,1.905,1.573,1.324981e-06,2.284633e-07
128,2048,8,8,64,0.199444,0.034326,0.067460,0.083262,0.203227,0.035608,0.068470,0.083948,5.810,2.956,2.395,5.707,2.968,2.421,1.180131e-06,2.021767e-07
192,1024,8,8,64,0.138824,0.018860,0.025132,0.036594,0.139465,0.019773,0.026074,0.037481,7.361,5.524,3.794,7.053,5.349,3.721,1.324981e-06,2.293127e-07
192,2048,8,8,64,0.272972,0.034384,0.040682,0.056520,0.281160,0.035380,0.041670,0.057160,7.939,6.710,4.830,7.947,6.747,4.919,1.180131e-06,2.025881e-07
256,512,8,8,64,0.096778,0.011192,0.046794,0.076962,0.099121,0.012206,0.047029,0.076187,8.647,2.068,1.257,8.121,2.108,1.301,1.486915e-06,2.6782e-07
256,1024,8,8,64,0.177738,0.019064,0.054734,0.066818,0.182191,0.020213,0.054812,0.066347,9.323,3.247,2.660,9.014,3.324,2.746,1.324981e-06,2.290117e-07
256,2048,8,8,64,0.354573,0.034914,0.070416,0.086220,0.357494,0.036021,0.070574,0.086648,10.156,5.035,4.112,9.925,5.066,4.126,1.180131e-06,2.018162e-07
512,4096,8,8,64,1.896585,0.079702,0.094628,0.121134,1.873063,0.077186,0.095046,0.121015,23.796,20.043,15.657,24.267,19.707,15.478,1.167573e-06,1.901008e-07
256,2048,8,2,64,0.443559,0.034784,0.070002,0.099422,0.439597,0.035618,0.070611,0.098881,12.752,6.336,4.461,12.342,6.226,4.446,7.628623e-07,1.305353e-07
