seqlen_q,seqlen_k,nhead_q,nhead_k,head_dim,causal,native_f32_ms,ck_f16_ms,ck_qo_bridge_ms,ck_full_f32_bridge_ms,native_f32_wall_ms,ck_f16_wall_ms,ck_qo_bridge_wall_ms,ck_full_f32_bridge_wall_ms,ck_f16_gpu_speedup_vs_native_f32,ck_qo_bridge_gpu_speedup,ck_full_f32_bridge_gpu_speedup,ck_f16_wall_speedup_vs_native_f32,ck_qo_bridge_wall_speedup,ck_full_f32_bridge_wall_speedup,max_abs,mean_abs
64,512,8,8,256,0,0.122686,0.079551,0.094049,0.112917,0.121974,0.076059,0.093708,0.113201,1.542,1.304,1.087,1.604,1.302,1.078,2.689805e-06,1.137398e-06
64,1024,8,8,256,0,0.235377,0.152932,0.163184,0.194364,0.231390,0.164164,0.162884,0.187260,1.539,1.442,1.211,1.410,1.421,1.236,2.281336e-06,1.138311e-06
64,2048,8,8,256,0,0.486576,0.292703,0.286681,0.337122,0.488665,0.284607,0.285608,0.324401,1.662,1.697,1.443,1.717,1.711,1.506,2.20706e-06,1.138213e-06
64,4096,8,8,256,0,1.113851,0.563573,0.550264,0.665022,1.106787,0.563172,0.551384,0.657667,1.976,2.024,1.675,1.965,2.007,1.683,2.168335e-06,1.138155e-06
96,1024,8,8,256,0,0.309740,0.320606,0.319796,0.354014,0.312586,0.312710,0.319348,0.336310,0.966,0.969,0.875,1.000,0.979,0.929,2.308894e-06,1.138195e-06
96,2048,8,8,256,0,0.712880,0.592065,0.589421,0.637389,0.726606,0.600145,0.589748,0.621328,1.204,1.209,1.118,1.211,1.232,1.169,2.251891e-06,1.138235e-06
128,512,8,8,256,0,0.193610,0.085613,0.094423,0.111207,0.194653,0.084479,0.095911,0.108913,2.261,2.050,1.741,2.304,2.030,1.787,2.843255e-06,1.138038e-06
128,1024,8,8,256,0,0.436617,0.166430,0.155560,0.191004,0.419054,0.160703,0.156080,0.179534,2.623,2.807,2.286,2.608,2.685,2.334,2.401328e-06,1.138175e-06
128,2048,8,8,256,0,0.977359,0.304588,0.286859,0.343782,0.988900,0.307771,0.287305,0.325636,3.209,3.407,2.843,3.213,3.442,3.037,2.293638e-06,1.138204e-06
192,1024,8,8,256,0,0.676342,0.173572,0.158138,0.190706,0.654398,0.175509,0.162126,0.181544,3.897,4.277,3.547,3.729,4.036,3.605,2.401328e-06,1.138191e-06
192,2048,8,8,256,0,1.532546,0.324486,0.296677,0.347426,1.535236,0.317090,0.293345,0.328165,4.723,5.166,4.411,4.842,5.234,4.678,2.293638e-06,1.138219e-06
256,512,8,8,256,0,0.410247,0.088977,0.096265,0.114337,0.411789,0.087536,0.097797,0.112281,4.611,4.262,3.588,4.704,4.211,3.667,2.8591e-06,1.13813e-06
256,1024,8,8,256,0,0.940179,0.175034,0.163898,0.201520,0.919206,0.178458,0.163503,0.189464,5.371,5.736,4.665,5.151,5.622,4.852,2.402638e-06,1.138178e-06
256,2048,8,8,256,0,2.109005,0.329504,0.318210,0.380198,2.111685,0.315615,0.292088,0.340140,6.401,6.628,5.547,6.691,7.230,6.208,2.322617e-06,1.138238e-06
512,4096,8,8,256,0,10.683062,0.791323,0.726143,0.869174,10.504306,0.799150,0.726341,0.868828,13.500,14.712,12.291,13.144,14.462,12.090,2.30689e-06,1.138303e-06
256,2048,8,2,256,0,1.435003,0.314142,0.310368,0.319488,1.416211,0.300319,0.296918,0.303617,4.568,4.624,4.492,4.716,4.770,4.664,1.022294e-06,1.837715e-07
