seqlen_q,seqlen_k,nhead_q,nhead_k,head_dim,native_f32_ms,ck_f16_ms,ck_qo_bridge_ms,ck_full_f32_bridge_ms,native_f32_wall_ms,ck_f16_wall_ms,ck_qo_bridge_wall_ms,ck_full_f32_bridge_wall_ms,ck_f16_gpu_speedup_vs_native_f32,ck_qo_bridge_gpu_speedup,ck_full_f32_bridge_gpu_speedup,ck_f16_wall_speedup_vs_native_f32,ck_qo_bridge_wall_speedup,ck_full_f32_bridge_wall_speedup,max_abs,mean_abs
64,512,8,8,64,0.031956,0.026738,0.038059,0.053955,0.032876,0.028019,0.038945,0.054607,1.195,0.840,0.592,1.173,0.844,0.602,1.317385e-06,2.714376e-07
64,1024,8,8,64,0.056257,0.046627,0.058169,0.080083,0.057345,0.048504,0.059600,0.081586,1.207,0.967,0.702,1.182,0.962,0.703,1.253982e-06,2.301148e-07
64,2048,8,8,64,0.113266,0.089047,0.099519,0.121530,0.113984,0.088762,0.097406,0.120961,1.272,1.138,0.932,1.284,1.170,0.942,1.127737e-06,2.055759e-07
64,4096,8,8,64,0.228337,0.185733,0.187593,0.226433,0.224470,0.192692,0.184997,0.209996,1.229,1.217,1.008,1.165,1.213,1.069,1.0937e-06,1.948186e-07
96,1024,8,8,64,0.076161,0.050625,0.059295,0.073001,0.076768,0.051441,0.059673,0.074384,1.504,1.284,1.043,1.492,1.286,1.032,1.324981e-06,2.276451e-07
96,2048,8,8,64,0.153120,0.099567,0.105228,0.132326,0.149654,0.097434,0.104700,0.127747,1.538,1.455,1.157,1.536,1.429,1.171,1.180131e-06,2.021986e-07
128,512,8,8,64,0.052237,0.025402,0.033328,0.045123,0.053403,0.026789,0.034601,0.045912,2.056,1.567,1.158,1.993,1.543,1.163,1.337685e-06,2.717722e-07
128,1024,8,8,64,0.099313,0.046985,0.055809,0.069319,0.100623,0.046953,0.055759,0.070603,2.114,1.780,1.433,2.143,1.805,1.425,1.324981e-06,2.284192e-07
128,2048,8,8,64,0.204653,0.091539,0.099643,0.125434,0.201517,0.096956,0.100040,0.121490,2.236,2.054,1.632,2.078,2.014,1.659,1.180131e-06,2.021539e-07
192,1024,8,8,64,0.151462,0.050759,0.079793,0.094807,0.151882,0.048244,0.080837,0.093869,2.984,1.898,1.598,3.148,1.879,1.618,1.324981e-06,2.293336e-07
192,2048,8,8,64,0.326247,0.097789,0.123334,0.149668,0.326405,0.099839,0.121604,0.143877,3.336,2.645,2.180,3.269,2.684,2.269,1.180131e-06,2.025231e-07
256,512,8,8,64,0.105206,0.026750,0.037095,0.047847,0.106215,0.027985,0.038501,0.049458,3.933,2.836,2.199,3.795,2.759,2.148,1.486915e-06,2.711126e-07
256,1024,8,8,64,0.208893,0.049453,0.061299,0.075177,0.204300,0.049248,0.060656,0.074443,4.224,3.408,2.779,4.148,3.368,2.744,1.324981e-06,2.289053e-07
256,2048,8,8,64,0.459141,0.100513,0.105126,0.128546,0.447703,0.105249,0.104518,0.124099,4.568,4.368,3.572,4.254,4.284,3.608,1.180131e-06,2.016493e-07
512,4096,8,8,64,2.309090,0.237154,0.237105,0.284544,2.277348,0.242731,0.219934,0.258857,9.737,9.739,8.115,9.382,10.355,8.798,1.167573e-06,1.898587e-07
256,2048,8,2,64,0.319097,0.101750,0.104778,0.120824,0.318325,0.102099,0.102491,0.112517,3.136,3.045,2.641,3.118,3.106,2.829,7.383824e-07,1.302701e-07
