"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
11779,11779,"Agent 2",1,922532,922532,327680,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452768071838,96452770265482
11780,11780,"Agent 2",1,922532,922532,196608,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452770323122,96452771840206
11790,11790,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452776261535,96452778089819
11793,11793,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452778339059,96452782939909
11794,11794,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452782991949,96452787472799
11797,11797,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452788596681,96452793492372
11800,11800,"Agent 2",1,922532,922532,327680,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452793793452,96452796468658
11801,11801,"Agent 2",1,922532,922532,196608,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452796520258,96452798083701
11811,11811,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452802296190,96452804023354
11814,11814,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452804266875,96452808886244
11815,11815,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452808938364,96452813606574
11818,11818,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452814744297,96452819583587
11821,11821,"Agent 2",1,922532,922532,327680,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452819904068,96452822643114
11822,11822,"Agent 2",1,922532,922532,196608,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452822705994,96452824333557
11832,11832,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452828630453,96452830364136
11835,11835,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452830625777,96452835255346
11836,11836,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452835314866,96452839952835
11839,11839,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452841133318,96452845957767
11842,11842,"Agent 2",1,922532,922532,393216,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452846283408,96452849511054
11857,11857,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452855399266,96452857071230
11860,11860,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452857325110,96452861691239
11861,11861,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452861750039,96452866259088
11864,11864,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452867427210,96452872140900
11867,11867,"Agent 2",1,922532,922532,327680,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452872453380,96452875108506
11868,11868,"Agent 2",1,922532,922532,196608,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452875170266,96452876748869
11878,11878,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452880959997,96452882672321
11881,11881,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452882923721,96452887493010
11882,11882,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452887553114,96452892146203
11885,11885,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452893299965,96452898020894
11888,11888,"Agent 2",1,922532,922532,327680,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452898328215,96452900993140
11889,11889,"Agent 2",1,922532,922532,196608,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452901057940,96452902644583
11899,11899,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452906850192,96452908574515
11902,11902,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452908824876,96452913390325
11903,11903,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452913451845,96452917900254
11906,11906,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452919047616,96452923642585
11909,11909,"Agent 2",1,922532,922532,327680,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452923948826,96452926578831
11910,11910,"Agent 2",1,922532,922532,196608,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452926637791,96452928189875
11920,11920,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452932354483,96452934042806
11923,11923,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452934295807,96452938764736
11924,11924,"Agent 2",1,922532,922532,557056,37,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452938821496,96452943255185
11927,11927,"Agent 2",1,922532,922532,163840,35,"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",256,0,20,256,0,128,"SQ_INSTS_VALU",0.00000000e+00,96452944415267,96452948951596
