pair	order	mode	prefill_tok_s	token_ids
1	0	group128	1184.5	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
1	1	group256	1189.1	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
2	0	group256	1180.7	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
2	1	group128	1172.4	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
3	0	group128	1179.5	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
3	1	group256	1194.5	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
4	0	group256	1196.1	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
4	1	group128	1175.7	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
5	0	group128	1166.6	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
5	1	group256	1178.3	[248046, 198, 248045, 74455, 198, 248068, 198, 8160, 579]
