"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipDeviceSynchronize",22972,11784885612,513010.865924,65.46,132885,1934847445,12772535.166543
"hipMemcpy",1236,5922518647,4791681.753236,32.90,7565,1838028795,85905510.116335
"hipMemset",23291,115019951,4938.386115,0.6389,3236,197380,4606.847933
"hipMalloc",1611,99435114,61722.603352,0.5523,1222,6065345,179030.088978
"hipInit",1,40483240,40483240.000000,0.2249,40483240,40483240,0.00000000e+00
"hipModuleLaunchKernel",5456,28383090,5202.179252,0.1577,1713,443873,9276.811397
"hipModuleLoad",20,10751649,537582.450000,0.0597,312841,1720195,372664.846975
"hipLaunchKernel",192,1771594,9227.052083,9.840e-03,2275,724712,52005.602872
"hipFree",2,242596,121298.000000,1.347e-03,102016,140580,27268.865910
"hipModuleGetFunction",22,27363,1243.772727,1.520e-04,852,2775,386.967937
"hipPeekAtLastError",128,15998,124.984375,8.886e-05,60,641,73.109128
"hipMemGetInfo",1,11212,11212.000000,6.228e-05,11212,11212,0.00000000e+00
"hipSetDevice",1,1704,1704.000000,9.465e-06,1704,1704,0.00000000e+00
"hipGetDeviceCount",1,591,591.000000,3.283e-06,591,591,0.00000000e+00
"hipRuntimeGetVersion",1,491,491.000000,2.727e-06,491,491,0.00000000e+00
