"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"__amd_rocclr_fillBufferAligned",23291,9066501323,389270.590486,55.93,2040,722678,371589.929311
"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_set",960,3418834408,3561285.841667,21.09,1487756,4900188,1240190.188520
"gemm_hfq4g256_mmq_x256y64_group128_quad_row_u32x2_full_add",512,1657879334,3238045.574219,10.23,1511676,5004987,1547195.403414
"void ck_tile::kentry<ck_tile::gfx11_t, 1, (anonymous namespace)::QuantizedFmhaKernel, (anonymous namespace)::QuantizedFmhaKernel::Kargs>((anonymous namespace)::QuantizedFmhaKernel::Kargs)",64,811989700,12687339.062500,5.01,3329552,22225904,6952282.899208
"gated_delta_net_q8_fast",192,453825752,2363675.791667,2.80,2255395,2439513,40641.924387
"fused_silu_mul_mq_rotate",256,185330279,723946.402344,1.14,713318,743398,9430.166730
"conv1d_silu_split_f32",192,149776125,780083.984375,0.9239,759238,795558,8473.762751
"quantize_q8_1_mmq_ds4_group128",1024,111487035,108874.057617,0.6877,32160,323199,122348.991189
"fused_rmsnorm_mq_rotate_awq",512,73900335,144336.591797,0.4559,106640,316600,27545.959533
"gemm_hfq4g256_residual_mmq_full_set",128,59273093,463071.039062,0.3656,450519,477999,5079.156346
"gated_norm_f32",192,49686107,258781.807292,0.3065,254680,271199,3684.405076
"gemm_gate_up_hfq4g256_dot2",192,31004879,161483.744792,0.1913,152080,168560,3528.005375
"fused_qk_l2_norm_scale_interleave_f32_batched",192,29361726,152925.656250,0.1811,147920,161960,4085.903344
"mq_rotate_x",260,27632251,106277.888462,0.1705,2319,124359,26069.823123
"convert_f32_to_f16",192,19744350,102835.156250,0.1218,98200,116559,1315.902464
"deinterleave_f32_batched",64,18271430,285491.093750,0.1127,283960,286639,441.877909
"rmsnorm_f32",132,16604589,125792.340909,0.1024,11920,232479,89663.525211
"sigmoid_mul_f32",64,10466448,163538.250000,0.0646,161640,165280,973.048197
"rope_partial_halfsplit_batched_f32",64,5653065,88329.140625,0.0349,86680,89760,728.562269
"gemv_hfq4g256",4,3827312,956828.000000,0.0236,956358,957278,519.871779
"(anonymous namespace)::convert_f16_to_f32(__half const*, float*, unsigned long)",64,2830594,44228.031250,0.0175,41760,47480,1101.714378
"(anonymous namespace)::rotate_q_givens_f32_to_f16(float const*, __half*, float const*, float const*, int, int)",64,2072834,32388.031250,0.0128,31520,34000,503.136163
"kv_cache_write_q8_0_batched",64,1473760,23027.500000,9.091e-03,22520,23520,251.156057
"kv_cache_write_asym_k_givens3_batched",64,1387635,21681.796875,8.560e-03,21000,23240,411.716468
"fused_sigmoid_alpha_gate_f32",192,911919,4749.578125,5.625e-03,4480,5080,127.375991
"__amd_rocclr_copyBuffer",192,902038,4698.114583,5.564e-03,2198,16160,1686.965927
"embedding_q8_batched",4,335959,83989.750000,2.072e-03,62920,146319,41553.466525
