context_tokens	gen_tokens	sample	total_ms	gen_tok_s	avg_ms	p50_ms
64	4096	1	118473.8	34.6	28.63	28.65
64	4096	2	118135.5	34.7	28.54	28.58
64	4096	3	118354.4	34.6	28.60	28.63
64	4096	4	118231.9	34.6	28.56	28.59
64	4096	5	118500.5	34.6	28.64	28.66
65536	4096	1	167400.0	24.5	40.57	40.62
65536	4096	2	167272.5	24.5	40.54	40.59
65536	4096	3	167275.8	24.5	40.54	40.59
65536	4096	4	167326.0	24.5	40.55	40.60
65536	4096	5	167156.1	24.5	40.51	40.56
131072	4096	1	220745.5	18.6	53.60	53.62
131072	4096	2	220569.3	18.6	53.55	53.58
131072	4096	3	220523.0	18.6	53.54	53.56
131072	4096	4	220877.4	18.5	53.63	53.66
131072	4096	5	220955.5	18.5	53.65	53.68
196608	4096	1	275539.3	14.9	66.98	67.01
196608	4096	2	275312.2	14.9	66.92	66.95
196608	4096	3	275485.1	14.9	66.96	67.00
196608	4096	4	275509.8	14.9	66.97	67.00
196608	4096	5	275487.6	14.9	66.96	67.00
