workload	prefill_tokens	kv_seq	sample	prefill_ms	prefill_tok_s
prefill	64	auto	1	165.7	386.3
prefill	64	auto	2	163.8	390.8
prefill	64	auto	3	166.5	384.4
prefill	64	auto	4	165.7	386.3
prefill	64	auto	5	164.1	390.1
prefill	256	auto	1	244.0	1049.0
prefill	256	auto	2	243.6	1050.9
prefill	256	auto	3	244.6	1046.8
prefill	256	auto	4	243.7	1050.3
prefill	256	auto	5	243.8	1050.0
prefill	1024	auto	1	883.0	1159.7
prefill	1024	auto	2	883.9	1158.5
prefill	1024	auto	3	885.0	1157.0
prefill	1024	auto	4	884.5	1157.7
prefill	1024	auto	5	886.3	1155.4
prefill	2048	auto	1	1629.2	1257.0
prefill	2048	auto	2	1631.4	1255.4
prefill	2048	auto	3	1637.5	1250.7
prefill	2048	auto	4	1641.7	1247.5
prefill	2048	auto	5	1645.5	1244.6
prefill	4096	auto	1	3281.1	1248.4
prefill	4096	auto	2	3297.6	1242.1
prefill	4096	auto	3	3318.1	1234.4
prefill	4096	auto	4	3330.6	1229.8
prefill	4096	auto	5	3342.6	1225.4
prefill	8192	auto	1	6780.0	1208.3
prefill	8192	auto	2	6831.1	1199.2
prefill	8192	auto	3	6865.4	1193.2
prefill	8192	auto	4	6873.8	1191.8
prefill	8192	auto	5	6859.4	1194.3
capacity	2048	65536	1	1599.0	1280.8
capacity	2048	65536	2	1600.6	1279.5
capacity	2048	65536	3	1606.0	1275.2
capacity	2048	65536	4	1611.3	1271.1
capacity	2048	65536	5	1614.8	1268.3
capacity	2048	131072	1	1631.6	1255.2
capacity	2048	131072	2	1633.6	1253.7
capacity	2048	131072	3	1639.2	1249.4
capacity	2048	131072	4	1643.0	1246.5
capacity	2048	131072	5	1647.3	1243.2
capacity	2048	196608	1	1645.8	1244.4
capacity	2048	196608	2	1651.0	1240.4
capacity	2048	196608	3	1653.0	1239.0
capacity	2048	196608	4	1655.5	1237.1
capacity	2048	196608	5	1660.0	1233.8
